"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCETOLERANCE";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";"VOLTAGERATING";
"1";"";"CR1220SMT";"CR1220-SMD";"BH2";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";"";"";"";"";"";"";"";"";"";
"1";"";"GPS_FGPMMOPA6H";"FGPMMOPA6H";"U5";"GPS Module - MTK MT3339 Chipset, -165dBm sensitivity, 22 channels, 10Hz, auto-select external antenna options";"";"";"";"";"";"";"";"";"";"";
"1";"";"L-USL2012C";"L2012C";"L3";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"GPSLOCK";"LED";"";"";"";"";"";"";"";"";"";"";
"1";".001 uF";"C-USC0805";"C0805";"C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";".01uF";"CAP0805";"0805";"C6";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"3";".1 uF";"C-USC0805";"C0805";"C1, C2, C15";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";".22uF";"CAP0805";"0805";"C23";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"1.47M";"RESISTOR0805-RES";"0805";"R12";"Resistor";"";"";"";"";"";"";"";"";"";"";
"1";"10";"RESISTOR0805-RES";"0805";"R16";"Resistor";"";"";"";"";"";"";"";"";"";"";
"1";"100uF";"THJC226K016RJN";"CAPCP6032X280N";"C11";"Tantalum Capacitor , 2312";"±10%";"";"THJC226K016RJN";"1707045";"57P7383";"";"";"AVX";"22µF";"16V";
"1";"100uH";"INDUCTORMURATATDK";"SLF7045";"L2";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"CAP1210";"1210";"C7";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"187k";"RESISTOR0805-RES";"0805";"R9";"Resistor";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"R-US_R0805";"R0805";"R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"CAP0805";"0805";"C4";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"2.2uF";"CAP0805";"0805";"C22";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"3";"220";"R-US_R0805";"R0805";"R1, R3, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"22pF";"CAP0805";"0805";"C8";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"280k";"RESISTOR0805-RES";"0805";"R7";"Resistor";"";"";"";"";"";"";"";"";"";"";
"1";"330";"R-US_R0805";"R0805";"R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"385k";"RESISTOR0805-RES";"0805";"R17";"Resistor";"";"";"";"";"";"";"";"";"";"";
"1";"4.7k";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"2";"4.7uF";"CAP1210";"1210";"C5, C21";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uH";"INDUCTORMURATA";"0805";"L5";"";"";"";"";"";"";"";"";"";"";"";
"1";"47k";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"47nF";"CAP0805";"0805";"C9";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"47nH";"INDUCTORMURATA";"0805";"L1";"";"";"";"";"";"";"";"";"";"";"";
"1";"47pF";"CAP0805";"0805";"C10";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"500mA";"PTCFUSE-1206";"R1206";"F1";"PTC fuses, resettable thermistors";"";"";"";"";"";"";"";"";"";"";
"1";"5pF";"CAP0805";"0805";"C20";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"1";"ARDUINO_R3_SHIELD";"ARDUINO_R3_SHIELD";"UNO_R3_SHIELD";"J1";"Shield form compatible with the Arduino Uno R3.";"";"";"";"";"";"";"";"";"";"";
"1";"CTL Signals";"M08NO_SILK";"1X08_PIN1_NO_SILK";"JP3";"Header 8";"";"";"";"";"";"";"";"";"";"";
"1";"LCD";"M08NO_SILK";"1X08_PIN1_NO_SILK";"JP1";"Header 8";"";"";"";"";"";"";"";"";"";"";
"1";"LT1761ES5-5PBF";"LT1761ES5-5PBF";"SOT95P280X100-5N";"U2";"100mA, Low Noise,LDO Micropower Regulators";"";"";"LT1761ES5-5#PBF";"1533302";"61M3359";"TSOT-23-5";"";"Linear Technology";"";"";
"1";"LT3483IS6PBF";"LT3483IS6PBF";"SOT95P280X100-6N";"U8";"Inverting Micropower DC/DC Converters with Schottky";"";"";"LT3483IS6#PBF";"-";"84R9683";"TSOT-23-6";"";"Linear Technology";"";"";
"1";"LTC3631IMS8EPBF";"LTC3631IMS8EPBF";"SOP65P490X110-9N";"U3";"Step-Down Converter";"";"";"LTC3631IMS8E#PBF";"-";"24R8687";"MSOP-8";"";"Linear Technology";"";"";
"1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"D2";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"";"DIO-08053";"";"MBRA140";"";
"1";"MC74HC14ADG";"MC74HC14ADG";"SOIC127P600X175-14N";"U1";"Hex Schmitt-Trigger Inverter";"";"";"MC74HC14ADG";"9666931";"71J5595";"SOIC-14";"";"ON SEMICONDUCTOR";"";"";
"1";"MENU BTN";"M02PTH";"1X02";"JP2";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"";
"3";"MOSFET-NCHANNELBSS123LT1G";"MOSFET-NCHANNELBSS123LT1G";"SOT23-3";"Q1, Q2, Q3";"Common NMOSFET Parts";"";"";"";"";"";"";"TRANS-08345";"";"";"";
"1";"RB751";"DIODE-SCHOTTKY-RB751";"SOD-523";"D3";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"";"DIO-11018";"";"RB751";"";
"1";"SMA-SMD";"SMA-SMD";"SMA-SMD";"X2";"SMA 50 Ohm Straight Jack Receptacle - Surface Mount";"";"";"";"unknown";"unknown";"";"";"";"";"";
