Screaming Circuits SMD component position file.

Centroid Data for pc board: "CI_V.brd" as of: 8/7/16 8:50 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BH2,Bottom,3.525,2.875,180
C1,Top,3.875,2.275,90
C2,Top,3.850,1.700,180
C3,Top,3.050,1.150,180
C4,Top,3.775,1.850,270
C5,Top,2.650,2.600,0
C6,Top,3.450,1.900,90
C7,Top,3.450,1.675,180
C8,Top,3.450,1.800,180
C9,Top,2.575,2.300,270
C10,Top,3.450,1.550,180
C11,Top,2.975,2.600,180
C15,Top,2.375,2.000,270
C20,Top,3.475,2.325,90
C21,Top,3.525,2.775,180
C22,Top,3.275,2.425,90
C23,Top,3.500,2.575,180
D2,Top,3.875,2.525,270
D3,Top,3.675,2.450,270
F1,Top,3.875,2.775,270
GPSLOCK,Top,2.375,1.825,180
L1,Top,3.600,1.625,270
L2,Top,2.750,2.875,0
L3,Top,2.500,2.125,270
L5,Top,3.525,2.675,180
Q1,Top,3.150,1.300,180
Q2,Top,3.300,1.300,180
Q3,Top,3.450,1.300,180
R1,Top,3.000,3.100,270
R2,Top,4.100,1.475,270
R3,Top,3.100,3.100,270
R4,Top,3.200,3.100,270
R5,Top,2.400,2.950,90
R6,Top,2.875,1.150,180
R7,Top,2.475,2.350,90
R9,Top,3.075,2.350,90
R10,Top,2.375,1.625,270
R11,Top,3.450,1.450,0
R12,Top,2.975,2.425,90
R16,Top,3.675,2.325,90
R17,Top,3.375,2.325,90
U$1,Top,2.350,1.100,0
U$6,Top,3.875,3.000,0
U$7,Top,2.350,3.100,0
U1,Top,3.850,1.475,180
U2,Top,3.625,1.850,180
U3,Top,2.775,2.400,0
U5,Top,2.950,1.825,0
U8,Top,3.525,2.475,0
X2,Top,2.575,1.250,0
